City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
175,San Policarpo,12.18,125.51,84.92,73,100,6.96,overcast clouds,PH,2020-08-31 01:17:59
176,Vallenar,-28.57,-70.76,57.92,58,100,3.69,overcast clouds,CL,2020-08-31 01:13:06
177,Kavieng,-2.57,150.8,86.13,67,31,9.4,light rain,PG,2020-08-31 01:18:00
178,Puerto Del Rosario,28.5,-13.86,73.4,73,0,18.34,clear sky,ES,2020-08-31 01:18:00
179,Bose,45.46,8.01,59.0,86,27,1.01,scattered clouds,IT,2020-08-31 01:18:00
180,Sioux Lookout,50.1,-91.92,62.6,77,90,8.05,overcast clouds,CA,2020-08-31 01:18:00
181,Sidney,-33.87,151.21,71.01,34,40,23.04,scattered clouds,AU,2020-08-31 01:14:29
182,Mecca,21.43,39.83,86.09,28,94,2.8,overcast clouds,SA,2020-08-31 01:14:10
183,Nisia Floresta,-6.09,-35.21,75.2,88,40,5.82,scattered clouds,BR,2020-08-31 01:16:38
184,Marystown,47.17,-55.15,64.99,100,100,3.0,overcast clouds,CA,2020-08-31 01:18:01
185,Kruisfontein,-34.0,24.73,42.03,82,0,7.07,clear sky,ZA,2020-08-31 01:18:01
186,Pisco,-13.7,-76.22,59.0,87,50,13.87,scattered clouds,PE,2020-08-31 01:18:02
187,Nikolskoye,59.7,30.79,57.0,93,100,2.24,overcast clouds,RU,2020-08-31 01:18:02
188,Constitucion,-35.33,-72.42,46.17,75,0,5.55,clear sky,CL,2020-08-31 01:18:03
189,Coello,4.29,-74.9,79.97,62,100,0.96,overcast clouds,CO,2020-08-31 01:18:03
190,Novomichurinsk,54.04,39.75,64.24,66,0,10.98,clear sky,RU,2020-08-31 01:17:52
191,Baishishan,43.58,127.57,76.15,65,36,1.95,scattered clouds,CN,2020-08-31 01:18:03
192,Kudat,6.88,116.85,82.4,88,20,3.36,few clouds,MY,2020-08-31 01:18:03
193,Nanortalik,60.14,-45.24,45.32,84,100,6.11,overcast clouds,GL,2020-08-31 01:18:04
194,Faanui,-16.48,-151.75,77.74,75,7,19.46,clear sky,PF,2020-08-31 01:18:04
195,Isangel,-19.55,169.27,75.2,73,90,11.41,overcast clouds,VU,2020-08-31 01:18:04
196,Kurtamysh,54.91,64.43,61.92,73,100,8.12,overcast clouds,RU,2020-08-31 01:18:05
197,East London,-33.02,27.91,50.97,62,0,8.79,clear sky,ZA,2020-08-31 01:18:05
198,Klaksvik,62.23,-6.59,48.2,100,71,10.29,broken clouds,FO,2020-08-31 01:18:05
199,Sokoto,13.06,5.24,75.72,83,100,8.12,overcast clouds,NG,2020-08-31 01:18:05
200,Poum,-20.23,164.02,69.69,67,0,8.34,clear sky,NC,2020-08-31 01:18:06
201,Naze,28.37,129.48,87.8,79,40,18.34,scattered clouds,JP,2020-08-31 01:18:06
202,Hovd,48.01,91.64,56.05,47,100,0.22,overcast clouds,MN,2020-08-31 01:18:06
203,Daltenganj,24.03,84.07,77.47,85,15,4.56,few clouds,IN,2020-08-31 01:18:07
204,Pemba,-12.97,40.52,71.6,83,20,4.7,few clouds,MZ,2020-08-31 01:18:07
205,Coos Bay,43.37,-124.22,72.0,67,1,27.51,clear sky,US,2020-08-31 01:18:07
206,Srednekolymsk,67.45,153.68,51.69,51,34,8.23,scattered clouds,RU,2020-08-31 01:18:07
207,Sistranda,63.73,8.83,42.8,81,20,4.52,few clouds,NO,2020-08-31 01:18:08
208,Guadalupe Victoria,32.29,-115.11,100.0,22,5,18.34,clear sky,MX,2020-08-31 01:18:08
209,Katsuura,35.13,140.3,88.0,74,75,9.17,broken clouds,JP,2020-08-31 01:18:08
210,Namatanai,-3.67,152.43,86.2,66,20,9.93,few clouds,PG,2020-08-31 01:18:08
211,Hobyo,5.35,48.53,77.23,82,1,23.44,clear sky,SO,2020-08-31 01:18:09
212,Mahebourg,-20.41,57.7,71.6,78,75,18.34,shower rain,MU,2020-08-31 01:18:09
213,Richards Bay,-28.78,32.04,57.0,74,100,8.63,overcast clouds,ZA,2020-08-31 01:18:09
214,Kaeo,-35.1,173.78,66.99,16,0,5.99,clear sky,NZ,2020-08-31 01:18:09
215,Bikin,46.82,134.26,61.2,63,97,7.83,overcast clouds,RU,2020-08-31 01:18:10
216,Lagoa,39.05,-27.98,73.98,94,47,9.35,scattered clouds,PT,2020-08-31 01:18:10
217,Yulara,-25.24,130.99,64.4,39,0,18.34,clear sky,AU,2020-08-31 01:18:10
218,Effium,6.63,8.06,72.55,95,100,4.43,light rain,NG,2020-08-31 01:18:11
219,Howard Springs,-12.5,131.05,89.01,43,45,12.75,scattered clouds,AU,2020-08-31 01:18:11
220,Nizhnyaya Tavda,57.67,66.17,60.98,94,13,7.11,few clouds,RU,2020-08-31 01:18:12
221,Farah,32.5,62.5,63.61,28,0,7.87,clear sky,AF,2020-08-31 01:18:12
222,Salinas,36.68,-121.66,69.8,72,40,12.75,scattered clouds,US,2020-08-31 01:15:59
223,Ancud,-41.87,-73.82,46.0,95,10,8.99,clear sky,CL,2020-08-31 01:18:07
224,Pouembout,-21.13,164.9,76.26,46,2,7.96,clear sky,NC,2020-08-31 01:18:12
225,Fuerte Olimpo,-21.04,-57.87,75.09,42,8,6.55,clear sky,PY,2020-08-31 01:18:13
226,Severnoye,56.35,78.36,56.95,91,0,6.91,clear sky,RU,2020-08-31 01:18:13
227,Svetlyy,54.67,20.13,64.4,82,20,8.95,few clouds,RU,2020-08-31 01:18:13
228,Yandyki,45.77,47.13,69.76,42,0,7.87,clear sky,RU,2020-08-31 01:18:13
229,Ziro,27.63,93.83,61.12,100,100,1.23,overcast clouds,IN,2020-08-31 01:18:14
230,Mnogovershinnyy,53.94,139.92,57.02,56,100,6.29,overcast clouds,RU,2020-08-31 01:18:14
231,Ugoofaaru,5.67,73.0,82.67,72,50,8.75,scattered clouds,MV,2020-08-31 01:18:14
232,Arraias,-12.93,-46.94,79.38,30,92,4.41,overcast clouds,BR,2020-08-31 01:18:15
233,Berdigestyakh,62.1,126.7,60.21,70,1,3.71,clear sky,RU,2020-08-31 01:18:15
234,Clyde River,70.47,-68.59,42.8,100,40,8.05,scattered clouds,CA,2020-08-31 01:18:15
235,Holoby,51.09,25.01,68.0,86,100,12.68,overcast clouds,UA,2020-08-31 01:18:15
236,Bethel,41.37,-73.41,64.0,87,0,5.37,clear sky,US,2020-08-31 01:18:16
237,Arzamas,55.39,43.84,60.03,81,43,8.34,scattered clouds,RU,2020-08-31 01:18:16
238,Dunedin,-45.87,170.5,64.99,34,100,14.0,overcast clouds,NZ,2020-08-31 01:18:16
239,Suntar,62.14,117.63,62.89,54,27,3.76,scattered clouds,RU,2020-08-31 01:18:17
240,Filimonovo,56.2,95.46,55.72,90,100,7.63,overcast clouds,RU,2020-08-31 01:18:17
241,Evensk,61.95,159.23,55.83,43,0,3.09,clear sky,RU,2020-08-31 01:18:17
242,Harper,4.38,-7.72,75.43,82,100,9.86,overcast clouds,LR,2020-08-31 01:18:17
243,Bagotville,-28.98,153.42,73.99,56,0,9.17,clear sky,AU,2020-08-31 01:18:18
244,Izhma,65.01,53.91,50.38,94,100,5.73,light rain,RU,2020-08-31 01:18:18
245,Beloha,-25.17,45.05,69.67,62,0,4.38,clear sky,MG,2020-08-31 01:18:18
246,Gizo,-8.1,156.84,85.01,75,77,7.31,broken clouds,SB,2020-08-31 01:18:19
247,Udachnyy,66.42,112.4,48.2,76,90,4.47,haze,RU,2020-08-31 01:18:19
248,Iqaluit,63.75,-68.51,53.6,58,20,10.29,few clouds,CA,2020-08-31 01:18:19
249,Iracoubo,5.48,-53.2,80.64,81,100,13.38,overcast clouds,GF,2020-08-31 01:18:20
250,Kieta,-6.22,155.63,86.22,68,86,7.25,light rain,PG,2020-08-31 01:18:20
251,Verkh-Usugli,52.7,115.17,54.95,77,96,2.89,overcast clouds,RU,2020-08-31 01:18:20
252,Sorong,-0.88,131.25,82.99,71,48,4.21,scattered clouds,ID,2020-08-31 01:18:21
253,Piranshahr,36.7,45.14,59.4,53,0,5.37,clear sky,IR,2020-08-31 01:18:21
254,Neosho,36.87,-94.37,77.0,87,9,5.37,clear sky,US,2020-08-31 01:18:22
255,Cherskiy,68.75,161.3,41.23,82,100,3.89,overcast clouds,RU,2020-08-31 01:18:22
256,Port Moresby,-9.44,147.18,86.0,74,40,14.99,scattered clouds,PG,2020-08-31 01:18:22
257,Tautira,-17.73,-149.15,82.4,61,20,9.17,few clouds,PF,2020-08-31 01:18:23
258,Khatanga,71.97,102.5,47.77,79,1,8.25,clear sky,RU,2020-08-31 01:18:23
259,Antalaha,-14.9,50.28,69.3,88,61,7.25,light rain,MG,2020-08-31 01:18:23
260,Aljezur,37.32,-8.8,54.0,85,100,1.01,overcast clouds,PT,2020-08-31 01:18:23
261,Longyearbyen,78.22,15.64,37.4,89,75,4.7,broken clouds,SJ,2020-08-31 01:18:24
262,Hithadhoo,-0.6,73.08,82.2,73,100,10.36,overcast clouds,MV,2020-08-31 01:18:24
