City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
307,Tifton,US,2021-03-12 15:07:07,31.4505,-83.5085,68.79,68.0,69.8,Clear,clear sky,68,1,6.91
308,Axim,GH,2021-03-12 15:07:08,4.8699,-2.2405,85.82,85.82,85.82,Clouds,broken clouds,68,74,10.02
309,Vila Velha,BR,2021-03-12 15:07:08,-20.3297,-40.2925,86.22,84.99,87.8,Clear,clear sky,55,0,16.11
310,Griffith,US,2021-03-12 15:07:08,41.5284,-87.4237,44.65,44.01,45.0,Clear,clear sky,53,1,3.44
311,Tadine,NC,2021-03-12 15:07:09,-21.55,167.8833,75.78,75.78,75.78,Clouds,scattered clouds,81,34,12.53
312,Dulce Nombre De Culmi,HN,2021-03-12 15:07:09,15.1,-85.5333,71.6,71.6,71.6,Clouds,scattered clouds,100,40,2.55
313,Provideniya,RU,2021-03-12 15:07:09,64.3833,-173.3,14.56,14.56,14.56,Snow,snow,95,100,5.46
314,Lujan,AR,2021-03-12 15:07:10,-34.5703,-59.105,80.28,77.0,84.0,Clouds,few clouds,37,19,1.01
315,Amahai,ID,2021-03-12 15:07:10,-3.3333,128.9167,78.17,78.17,78.17,Clouds,broken clouds,83,77,4.18
316,Ilulissat,GL,2021-03-12 15:07:11,69.2167,-51.1,10.4,10.4,10.4,Clouds,broken clouds,61,75,10.36
317,Maragogi,BR,2021-03-12 15:02:46,-9.0122,-35.2225,84.76,84.76,84.76,Clouds,scattered clouds,64,28,10.58
318,Mpongwe,ZM,2021-03-12 15:07:11,-13.5091,28.155,69.42,69.42,69.42,Rain,moderate rain,95,100,4.52
319,Taoudenni,ML,2021-03-12 15:07:11,22.6783,-3.9836,82.83,82.83,82.83,Clear,clear sky,18,0,20.45
320,Pandan,PH,2021-03-12 15:07:12,14.0453,124.1694,77.92,77.92,77.92,Clouds,overcast clouds,87,99,13.87
321,Okhotsk,RU,2021-03-12 15:07:12,59.3833,143.3,-3.95,-3.95,-3.95,Clear,clear sky,65,0,18.16
322,Acarau,BR,2021-03-12 15:07:12,-2.8856,-40.12,86.2,86.2,86.2,Clouds,overcast clouds,63,98,14.72
323,Otane,NZ,2021-03-12 15:07:13,-39.8833,176.6333,55.87,53.01,57.99,Clouds,broken clouds,70,83,3.0
324,Haputale,LK,2021-03-12 15:07:13,6.7681,80.9595,80.6,80.6,80.6,Clouds,few clouds,89,20,8.05
325,Lagoa,PT,2021-03-12 15:03:08,39.05,-27.9833,56.82,56.82,56.82,Clouds,overcast clouds,88,100,11.97
326,Terrasini,IT,2021-03-12 15:07:13,38.146,13.0844,62.69,61.0,64.0,Clouds,few clouds,55,20,18.41
327,Marsa Matruh,EG,2021-03-12 15:07:14,31.3525,27.2453,60.8,60.8,60.8,Clouds,few clouds,51,20,17.27
